"date","station","var","uni","val"
"1954-03-30","Station A 11, USFWS 1954-57","sal","ppt",31.5
"1954-03-30","Station A 8, USFWS 1954-57","sal","ppt",32.3
"1954-03-30","Station A 7, USFWS 1954-57","sal","ppt",32.5
"1954-05-03","Station A 7, USFWS 1954-57","sal","ppt",34.5
"1954-05-03","Station A 16, USFWS 1954-57","sal","ppt",30.8
"1954-06-19","Station A 7, USFWS 1954-57","sal","ppt",32.5
"1954-06-19","Station A 8, USFWS 1954-57","sal","ppt",35.1
"1955-02-01","Station A 11, USFWS 1954-57","sal","ppt",33.4
"1955-02-01","Station A 7, USFWS 1954-57","sal","ppt",33.1
"1955-02-01","Station A 7, USFWS 1954-57","sal","ppt",33.1
"1955-02-01","Station A 8, USFWS 1954-57","sal","ppt",33.3
"1955-04-28","Station A 7, USFWS 1954-57","sal","ppt",35.4
"1955-05-24","Station A 7, USFWS 1954-57","sal","ppt",35.9
"1955-05-24","Station A 8, USFWS 1954-57","sal","ppt",35.7
"1955-05-24","Station A 11, USFWS 1954-57","sal","ppt",35.9
"1955-05-24","Station A 11, USFWS 1954-57","sal","ppt",35.9
"1955-05-24","Station A 16, USFWS 1954-57","sal","ppt",34.4
"1955-05-24","Station A 16, USFWS 1954-57","sal","ppt",34.6
"1955-06-13","Station A 8, USFWS 1954-57","sal","ppt",36.8
"1955-06-13","Station A 11, USFWS 1954-57","sal","ppt",36.9
"1955-06-14","Station A 16, USFWS 1954-57","sal","ppt",36.4
"1955-07-20","Station A 7, USFWS 1954-57","sal","ppt",35.5
"1955-07-20","Station A 8, USFWS 1954-57","sal","ppt",35.1
"1955-07-20","Station A 11, USFWS 1954-57","sal","ppt",35.1
"1955-07-20","Station A 16, USFWS 1954-57","sal","ppt",33.4
"1955-07-26","Station A 7, USFWS 1954-57","sal","ppt",35.5
"1955-07-26","Station A 8, USFWS 1954-57","sal","ppt",35.4
"1955-07-26","Station A 11, USFWS 1954-57","sal","ppt",35
"1955-07-26","Station A 16, USFWS 1954-57","sal","ppt",33.9
"1955-08-10","Station A 7, USFWS 1954-57","sal","ppt",35.4
"1955-08-10","Station A 8, USFWS 1954-57","sal","ppt",34.7
"1955-08-10","Station A 11, USFWS 1954-57","sal","ppt",34.3
"1955-08-10","Station A 16, USFWS 1954-57","sal","ppt",33.9
"1955-08-10","Station A 17, USFWS 1954-57","sal","ppt",33
"1955-08-23","Station A 7, USFWS 1954-57","sal","ppt",33.6
"1955-08-23","Station A 8, USFWS 1954-57","sal","ppt",32.7
"1955-08-23","Station A 11, USFWS 1954-57","sal","ppt",31.3
"1955-08-23","Station A 16, USFWS 1954-57","sal","ppt",32.5
"1955-08-23","Station A 17, USFWS 1954-57","sal","ppt",32.8
"1955-08-28","Station A 24, USFWS 1957-59","sal","ppt",31
"1955-08-29","Station A 7, USFWS 1954-57","sal","ppt",33.1
"1955-08-29","Station A 8, USFWS 1954-57","sal","ppt",31.3
"1955-08-29","Station A 11, USFWS 1954-57","sal","ppt",30.2
"1955-08-30","Station A 16, USFWS 1954-57","sal","ppt",30.9
"1955-09-28","Station A 7, USFWS 1954-57","sal","ppt",34
"1955-09-28","Station A 8, USFWS 1954-57","sal","ppt",32.4
"1955-09-28","Station A 11, USFWS 1954-57","sal","ppt",31.6
"1955-09-28","Station A 16, USFWS 1954-57","sal","ppt",27.2
"1955-09-28","Station A 24, USFWS 1957-59","sal","ppt",31
"1955-09-28","Station A 17, USFWS 1954-57","sal","ppt",26.9
"1955-10-05","Station A 7, USFWS 1954-57","sal","ppt",34.3
"1955-10-05","Station A 8, USFWS 1954-57","sal","ppt",33.7
"1955-10-05","Station A 11, USFWS 1954-57","sal","ppt",31.6
"1955-10-05","Station A 16, USFWS 1954-57","sal","ppt",30.7
"1955-10-05","Station A 17, USFWS 1954-57","sal","ppt",29
"1955-11-02","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1955-11-02","Station A 8, USFWS 1954-57","sal","ppt",34
"1955-11-02","Station A 11, USFWS 1954-57","sal","ppt",34.3
"1955-11-02","Station A 16, USFWS 1954-57","sal","ppt",32.3
"1955-11-02","Station A 17, USFWS 1954-57","sal","ppt",30.2
"1955-11-02","Station A 24, USFWS 1957-59","sal","ppt",32.4
"1955-11-02","Station A 24, USFWS 1957-59","sal","ppt",32.2
"1955-11-15","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1955-11-15","Station A 8, USFWS 1954-57","sal","ppt",34.7
"1955-11-15","Station A 11, USFWS 1954-57","sal","ppt",34.7
"1955-11-15","Station A 16, USFWS 1954-57","sal","ppt",30.8
"1955-11-15","Station A 17, USFWS 1954-57","sal","ppt",31.4
"1955-11-29","Station A 7, USFWS 1954-57","sal","ppt",35.3
"1955-11-29","Station A 8, USFWS 1954-57","sal","ppt",34.9
"1955-11-29","Station A 11, USFWS 1954-57","sal","ppt",34.9
"1955-11-29","Station A 16, USFWS 1954-57","sal","ppt",31.6
"1955-11-29","Station A 17, USFWS 1954-57","sal","ppt",31.6
"1955-12-07","Station A 7, USFWS 1954-57","sal","ppt",34.8
"1955-12-07","Station A 8, USFWS 1954-57","sal","ppt",34.7
"1955-12-07","Station A 11, USFWS 1954-57","sal","ppt",34.1
"1955-12-08","Station A 16, USFWS 1954-57","sal","ppt",31.2
"1955-12-08","Station A 17, USFWS 1954-57","sal","ppt",31.8
"1955-12-28","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1955-12-28","Station A 8, USFWS 1954-57","sal","ppt",34.3
"1955-12-28","Station A 11, USFWS 1954-57","sal","ppt",34
"1955-12-28","Station A 16, USFWS 1954-57","sal","ppt",30.6
"1955-12-28","Station A 17, USFWS 1954-57","sal","ppt",31.7
"1956-01-10","Station A 17, USFWS 1954-57","sal","ppt",34.1
"1956-01-10","Station A 16, USFWS 1954-57","sal","ppt",34.6
"1956-01-10","Station A 7, USFWS 1954-57","sal","ppt",31.4
"1956-01-10","Station A 8, USFWS 1954-57","sal","ppt",31.9
"1956-01-10","Station A 11, USFWS 1954-57","sal","ppt",33.3
"1956-01-17","Station A 7, USFWS 1954-57","sal","ppt",34.7
"1956-01-17","Station A 24, USFWS 1957-59","sal","ppt",33.4
"1956-02-01","Station A 7, USFWS 1954-57","sal","ppt",34.4
"1956-02-01","Station A 8, USFWS 1954-57","sal","ppt",34.4
"1956-02-01","Station A 11, USFWS 1954-57","sal","ppt",34.3
"1956-02-01","Station A 16, USFWS 1954-57","sal","ppt",32.6
"1956-02-01","Station A 17, USFWS 1954-57","sal","ppt",31.7
"1956-02-14","Station A 7, USFWS 1954-57","sal","ppt",35
"1956-02-14","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1956-02-29","Station A 7, USFWS 1954-57","sal","ppt",35.3
"1956-02-29","Station A 24, USFWS 1957-59","sal","ppt",35.3
"1956-03-07","Station A 8, USFWS 1954-57","sal","ppt",34.9
"1956-03-07","Station A 17, USFWS 1954-57","sal","ppt",33.3
"1956-03-07","Station A 16, USFWS 1954-57","sal","ppt",33.5
"1956-03-07","Station A 11, USFWS 1954-57","sal","ppt",35
"1956-03-08","Station A 7, USFWS 1954-57","sal","ppt",35.4
"1956-03-14","Station A 7, USFWS 1954-57","sal","ppt",34.6
"1956-03-14","Station A 24, USFWS 1957-59","sal","ppt",35.4
"1956-03-26","Station A 7, USFWS 1954-57","sal","ppt",36.8
"1956-03-26","Station A 24, USFWS 1957-59","sal","ppt",34.2
"1956-04-03","Station A 7, USFWS 1954-57","sal","ppt",36.4
"1956-04-03","Station A 24, USFWS 1957-59","sal","ppt",35.6
"1956-04-11","Station A 16, USFWS 1954-57","sal","ppt",35.4
"1956-04-11","Station A 11, USFWS 1954-57","sal","ppt",36
"1956-04-12","Station A 8, USFWS 1954-57","sal","ppt",36
"1956-04-12","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-04-12","Station A 17, USFWS 1954-57","sal","ppt",35.8
"1956-04-18","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-04-18","Station A 24, USFWS 1957-59","sal","ppt",36.5
"1956-04-25","Station A 7, USFWS 1954-57","sal","ppt",36.2
"1956-04-25","Station A 24, USFWS 1957-59","sal","ppt",35
"1956-05-10","Station A 16, USFWS 1954-57","sal","ppt",32.2
"1956-05-10","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-05-10","Station A 8, USFWS 1954-57","sal","ppt",36.5
"1956-05-10","Station A 11, USFWS 1954-57","sal","ppt",36.7
"1956-05-10","Station A 17, USFWS 1954-57","sal","ppt",33.3
"1956-06-07","Station A 24, USFWS 1957-59","sal","ppt",35.8
"1956-06-07","Station A 24, USFWS 1957-59","sal","ppt",35.8
"1956-06-07","Station A 17, USFWS 1954-57","sal","ppt",36.7
"1956-06-07","Station A 11, USFWS 1954-57","sal","ppt",37.3
"1956-06-11","Station A 16, USFWS 1954-57","sal","ppt",36.3
"1956-06-26","Station A 17, USFWS 1954-57","sal","ppt",36.4
"1956-06-26","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-06-26","Station A 24, USFWS 1957-59","sal","ppt",36.8
"1956-07-13","Station A 17, USFWS 1954-57","sal","ppt",35.6
"1956-07-17","Station A 7, USFWS 1954-57","sal","ppt",37
"1956-07-17","Station A 11, USFWS 1954-57","sal","ppt",36.7
"1956-07-17","Station A 16, USFWS 1954-57","sal","ppt",36.7
"1956-07-17","Station A 24, USFWS 1957-59","sal","ppt",36.8
"1956-07-30","Station A 17, USFWS 1954-57","sal","ppt",36
"1956-07-30","Station A 7, USFWS 1954-57","sal","ppt",36.3
"1956-07-30","Station A 24, USFWS 1957-59","sal","ppt",35.6
"1956-08-06","Station A 7, USFWS 1954-57","sal","ppt",37.2
"1956-08-06","Station A 24, USFWS 1957-59","sal","ppt",35.7
"1956-08-13","Station A 7, USFWS 1954-57","sal","ppt",36.9
"1956-08-13","Station A 24, USFWS 1957-59","sal","ppt",36.2
"1956-08-27","Station A 7, USFWS 1954-57","sal","ppt",36.5
"1956-08-27","Station A 17, USFWS 1954-57","sal","ppt",36.6
"1956-08-27","Station A 24, USFWS 1957-59","sal","ppt",35.3
"1956-09-04","Station A 17, USFWS 1954-57","sal","ppt",35
"1956-09-04","Station A 7, USFWS 1954-57","sal","ppt",37.3
"1956-09-04","Station A 24, USFWS 1957-59","sal","ppt",35.5
"1956-09-10","Station A 17, USFWS 1954-57","sal","ppt",33.6
"1956-09-12","Station A 7, USFWS 1954-57","sal","ppt",36.6
"1956-09-12","Station A 24, USFWS 1957-59","sal","ppt",33.3
"1956-09-24","Station A 7, USFWS 1954-57","sal","ppt",37.1
"1956-09-24","Station A 17, USFWS 1954-57","sal","ppt",35.4
"1956-09-24","Station A 24, USFWS 1957-59","sal","ppt",34.8
"1956-10-02","Station A 7, USFWS 1954-57","sal","ppt",36.7
"1956-10-02","Station A 24, USFWS 1957-59","sal","ppt",33.9
"1956-10-08","Station A 7, USFWS 1954-57","sal","ppt",35
"1956-10-08","Station A 17, USFWS 1954-57","sal","ppt",34.2
"1956-10-08","Station A 24, USFWS 1957-59","sal","ppt",33.3
"1956-10-17","Station A 17, USFWS 1954-57","sal","ppt",36.6
