"station","lng","lat"
"Station A 11, USFWS 1954-57",-82.7467,27.745
"Station A 8, USFWS 1954-57",-82.7617,27.755
"Station A 7, USFWS 1954-57",-82.7817,27.7833
"Station A 16, USFWS 1954-57",-82.6783,27.6917
"Station A 17, USFWS 1954-57",-82.6767,27.6617
"Station A 24, USFWS 1957-59",-82.7033,27.5283
"Johns Pass, 0.125 mi NE of bridge",-82.7809,27.7845
"Bonnie Eldred Dock",-82.7801,27.7897
"Station A 24a, USFWS 1957-59",-82.6533,27.525
"Station a 10c, USFWS 1957-59",-82.76,27.7483
"Station A 7d, USFWS 1957-59",-82.7667,27.7867
"Station a 10e, USFWS 1957-59",-82.7467,27.74
"Pier Bait House, St. Petersburg",-82.6246,27.7732
"Station 7, USFWS 1957-59",-82.725,27.585
"Station 8, USFWS 1957-59",-82.7233,27.5733
"Station 12, USFWS 1957-59",-82.7283,27.545
"Station 11, USFWS 1957-59",-82.715,27.55
"Station 1, USFWS 1960-61",-82.6083,27.7183
"Station 3, USFWS 1957-59",-82.5583,27.6933
"Station B, USFWS 1957-59",-82.7583,27.6033
"Station 33, USFWS 1957-59",-82.45,27.7
"Station 36, USFWS 1957-59",-82.5733,27.51
"Station 9, USFWS 1960-61",-82.7233,27.5617
"Station 7, USFWS 1960-61",-82.7167,27.585
"Station 5, USFWS 1960-61",-82.73,27.61
"Station 1 B, USFWS 1960-61",-82.4467,27.8117
"Pinellas Bayway, 1st bridge to Mullet Key",-82.7172,27.6942
"St. Petersburg Municipal Pier",-82.6215,27.7733
"Causeway Isles",-82.7543,27.7644
"Treasure Island Causeway",-82.7535,27.7704
"Long Bayou, Pinellas",-82.7647,27.8077
"Cross Bayou, Pinellas",-82.7582,27.825
"Riviera Bay",-82.6162,27.8511
"Hillsborough Bay, upper",-82.4752,27.9144
"Little Manatee River, mouth",-82.4854,27.716
"Simmons Park",-82.478,27.7336
"Shell Point, Tampa Bay",-82.4841,27.7192
"RT 1/WS 5",-82.6403,27.7021
"WS 6",-82.478,27.8889
"WS 4",-82.6343,27.7599
"Skyway Bridge, North",-82.6653,27.633
"Weedon isl",-82.5949,27.8493
"RT 11",-82.4842,27.8945
"RT 10",-82.6099,27.8429
"Ballast Point, 125 yd offshore on line with station",-82.4847,27.8942
"Anna Maria Island",-82.7402,27.5385
"Egmont Key, Low Range Light",-82.6468,27.6093
"Southwest Channel, 250 yds South of Egmont Key",-82.7581,27.5753
"TX #13",-82.5839,27.5496
"TX #14",-82.561,27.6441
"Skyway Bridge, 3rd fixed bridge",-82.6791,27.6924
"HCEPC Station Number 16",-82.5342,27.7202
"HCEPC Station Number 24",-82.6175,27.5835
"HCEPC Station Number 28",-82.6057,27.7047
"HCEPC Station Number 19",-82.5432,27.6932
"HCEPC Station Number 14",-82.5208,27.7758
"HCEPC Station Number 15",-82.523,27.76
"HCEPC Station Number 23",-82.592,27.6583
"HCEPC Station Number 25",-82.6688,27.6522
"HCEPC Station Number 22",-82.5839,27.6811
"Bayboro, East of",-82.6238,27.7593
"HCEPC Station Number 34",-82.5651,27.8355
"HCEPC Station Number 36",-82.5533,27.8558
"HCEPC Station Number 31",-82.5871,27.793
"HCEPC Station Number 30",-82.6237,27.7645
"HCEPC Station Number 40",-82.5833,27.9317
"HCEPC Station Number 39",-82.5852,27.9036
"HCEPC Station Number 38",-82.5733,27.8757
"HCEPC Station Number 33",-82.5692,27.819
"HCEPC Station Number 35",-82.5605,27.8456
"Rocky Point",-82.57,27.9614
"Gadsden Point",-82.4713,27.8184
"HCEPC Station Number 4",-82.4495,27.9044
"HCEPC Station Number 13",-82.5208,27.8075
"HCEPC Station Number 7",-82.4603,27.8558
"HCEPC Station Number 41",-82.565,27.9375
"Ballast Point, East of",-82.4633,27.896
"HCEPC Station Number 37",-82.5428,27.8915
"HCEPC Station Number 6",-82.473,27.8867
"HCEPC Station Number 12",-82.5039,27.8148
"HCEPC Station Number 52",-82.4345,27.9025
"HCEPC Station Number 43",-82.6251,27.9703
"HCEPC Station Number 1",-82.4608,27.9463
"HCEPC Station Number 3",-82.4266,27.9245
"HCEPC Station Number 2",-82.4579,27.9408
"HCEPC Station Number 9",-82.4295,27.785
"HCEPC Station Number 8",-82.4095,27.85
"HCEPC Station Number 44",-82.4728,27.923
