"date","station","source","typ","species","val","valqual","uni"
"2021-04-02","P Port 1","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-02","P Port 2","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-02","P Port 3","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-02","P Port 4","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-03","Piney 1","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-03","Piney 2","fldep","Qualitative","mixed algae",NA,NA,NA
"2021-04-04","MC1","pinco","Quantitative","Chaetoceros sp.",22000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Coscinodiscus",1000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Diploneis",1000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Fragilaria",6000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Guinardia sp.",66000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Navicula",24000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Nitzschia sp.",42000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Pleurosigma",3000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Pseudo-nitzschia sp.",8000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Rhizosolenia sp.",63000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Skeletonema sp.",39000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Striatella",2000,"Very low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Thalassionema",13000,"Low","cells/L"
"2021-04-04","MC1","pinco","Quantitative","Thalassiosira sp.",1000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Asterionellopsis",14000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Chaetoceros sp.",47000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Corethron",7000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Coscinodiscus",1000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Cylindrotheca",9000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Dictyocha sp.",7000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Diploneis",1000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Fragilaria",8000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Guinardia sp.",10000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Navicula",36000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Nitzschia sp.",61000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Pleurosigma",9000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Pseudo-nitzschia sp.",5000,"Very low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Rhizosolenia sp.",250000,"Medium","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Skeletonema sp.",48000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Thalassionema",50000,"Low","cells/L"
"2021-04-04","MC2","pinco","Quantitative","Thalassiosira sp.",5000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Chaetoceros sp.",14000,"Low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Cylindrotheca",7000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Ditylum",1000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Fragilaria",3000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Guinardia sp.",169000,"Medium","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Navicula",27000,"Low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Nitzschia sp.",25000,"Low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Pleurosigma",4000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Prorocentrum sp.",2000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Pseudo-nitzschia sp.",5000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Rhizosolenia sp.",52000,"Low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Scrippsiella",1000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Skeletonema sp.",21000,"Low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Striatella",1000,"Very low","cells/L"
"2021-04-04","MC3","pinco","Quantitative","Thalassionema",19000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Ceratium",2000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Chaetoceros sp.",10000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Coscinodiscus",1000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Cylindrotheca",10000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Dictyocha sp.",3000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Fragilaria",20000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Guinardia sp.",105000,"Medium","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Gyrosigma sp.",1000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Hemiaulus",18000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Navicula",28000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Nitzschia sp.",26000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Pleurosigma",2000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Protoperidinium sp.",2000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Pseudo-nitzschia sp.",8000,"Very low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Rhizosolenia sp.",59000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Skeletonema sp.",13000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Thalassionema",31000,"Low","cells/L"
"2021-04-04","MC4","pinco","Quantitative","Thalassiosira sp.",7000,"Very low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Chaetoceros sp.",11000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Cylindrotheca",13000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Dictyocha sp.",2000,"Very low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Fragilaria",2000,"Very low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Guinardia sp.",143000,"Medium","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Gymnodinium sp.",1000,"Very low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Navicula",16000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Nitzschia sp.",15000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Pseudo-nitzschia sp.",4000,"Very low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Rhizosolenia sp.",57000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Skeletonema sp.",19000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Thalassionema",10000,"Low","cells/L"
"2021-04-04","MC5","pinco","Quantitative","Thalassiosira sp.",5000,"Very low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Asteromphalus",3000,"Very low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Chaetoceros sp.",21000,"Low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Cylindrotheca",21000,"Low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Dictyocha sp.",3000,"Very low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Fragilaria",12000,"Low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Guinardia sp.",65000,"Low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Gymnodinium sp.",3000,"Very low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Gyrosigma sp.",2000,"Very low","cells/L"
"2021-04-04","MC6","pinco","Quantitative","Licmophora",1000,"Very low","cells/L"
