"source","source_lng","station","lng","lat","typ"
"epchc","Hillsborough Co.","11",-82.478897,27.812901,"Quantitative"
"epchc","Hillsborough Co.","13",-82.523201,27.8118,"Quantitative"
"epchc","Hillsborough Co.","16",-82.5338,27.7238,"Quantitative"
"epchc","Hillsborough Co.","21",-82.5639,27.6625,"Quantitative"
"epchc","Hillsborough Co.","22",-82.5712,27.6081,"Quantitative"
"epchc","Hillsborough Co.","23",-82.5992,27.666,"Quantitative"
"epchc","Hillsborough Co.","24",-82.6193,27.5884,"Quantitative"
"epchc","Hillsborough Co.","84",-82.498703,27.729,"Quantitative"
"epchc","Hillsborough Co.","90",-82.5915,27.626,"Quantitative"
"epchc","Hillsborough Co.","91",-82.6415,27.6279,"Quantitative"
"epchc","Hillsborough Co.","19",-82.555901,27.693399,"Quantitative"
"epchc","Hillsborough Co.","28",-82.6092,27.708401,"Quantitative"
"epchc","Hillsborough Co.","32",-82.570702,27.7932,"Quantitative"
"epchc","Hillsborough Co.","33",-82.567497,27.826099,"Quantitative"
"epchc","Hillsborough Co.","82",-82.5718,27.751101,"Quantitative"
"epchc","Hillsborough Co.","92",-82.686798,27.5737,"Quantitative"
"epchc","Hillsborough Co.","94",-82.783203,27.610001,"Quantitative"
"epchc","Hillsborough Co.","95",-82.694702,27.6112,"Quantitative"
"epchc","Hillsborough Co.","96",-82.691002,27.6378,"Quantitative"
"epchc","Hillsborough Co.","MB01",-82.6045,27.5738,"Quantitative"
"epchc","Hillsborough Co.","MC365",-82.6067,27.61245,"Quantitative"
"epchc","Hillsborough Co.","MC395",-82.5731,27.56755,"Quantitative"
"epchc","Hillsborough Co.","MC396",-82.6218,27.59106,"Quantitative"
"epchc","Hillsborough Co.","MC405",-82.5873,27.55267,"Quantitative"
"epchc","Hillsborough Co.","MC408",-82.5992,27.54783,"Quantitative"
"epchc","Hillsborough Co.","MC422",-82.6332,27.55748,"Quantitative"
"epchc","Hillsborough Co.","MC430",-82.6077,27.52936,"Quantitative"
"epchc","Hillsborough Co.","MC431",-82.5979,27.5112,"Quantitative"
"epchc","Hillsborough Co.","MC434",-82.6188,27.51733,"Quantitative"
"epchc","Hillsborough Co.","21PP01s",-82.531517,27.6933,"Quantitative"
"epchc","Hillsborough Co.","21PP02s",-82.525967,27.689117,"Quantitative"
"epchc","Hillsborough Co.","21PP03s",-82.547217,27.663917,"Quantitative"
"epchc","Hillsborough Co.","21PP04s",-82.55575,27.650017,"Quantitative"
"epchc","Hillsborough Co.","21PP05s",-82.57405,27.615783,"Quantitative"
"epchc","Hillsborough Co.","21PP06s",-82.56285,27.60555,"Quantitative"
"epchc","Hillsborough Co.","21PP07s",-82.575533,27.607367,"Quantitative"
"epchc","Hillsborough Co.","21PP09s",-82.617617,27.5754,"Quantitative"
"epchc","Hillsborough Co.","21PP10s",-82.63065,27.57935,"Quantitative"
"epchc","Hillsborough Co.","21PP20s",-82.59205,27.59725,"Quantitative"
"epchc","Hillsborough Co.","PP-RP1",-82.5418628,27.662158,"Quantitative"
"epchc","Hillsborough Co.","PP-SC1",-82.5311983,27.6780451,"Quantitative"
