"date","station","location","typ","taxa","abundance","bb"
"2021-04-07","S3T5a",100,"mcr","Red","6-25%",2
"2021-04-07","S3T5a",100,"mcr","Green","<1%",0
"2021-04-07","S3T5a",100,"mcr","Brown","<1%",0
"2021-04-07","S3T5a",100,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5a",100,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T5a",100,"sav","Halodule wrightii","1-5%",1
"2021-04-07","S3T5a",100,"sav","Syringodium filiforme","<1%",0
"2021-04-07","S3T5a",100,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5a",100,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T5a",100,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T5a",125,"mcr","Red","76-100%",5
"2021-04-07","S3T5a",125,"mcr","Red","1-5%",1
"2021-04-07","S3T5a",125,"mcr","Green","<1%",0
"2021-04-07","S3T5a",125,"mcr","Brown","<1%",0
"2021-04-07","S3T5a",125,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5a",125,"sav","Thalassia testudinum","6-25%",2
"2021-04-07","S3T5a",125,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T5a",125,"sav","Syringodium filiforme","<1%",0
"2021-04-07","S3T5a",125,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5a",125,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T5a",125,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T5a",150,"mcr","Red","6-25%",2
"2021-04-07","S3T5a",150,"mcr","Red","6-25%",2
"2021-04-07","S3T5a",150,"mcr","Green","<1%",0
"2021-04-07","S3T5a",150,"mcr","Brown","<1%",0
"2021-04-07","S3T5a",150,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5a",150,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T5a",150,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T5a",150,"sav","Syringodium filiforme","6-25%",2
"2021-04-07","S3T5a",150,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5a",150,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T5a",150,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T5b",250,"mcr","Red","51-75%",4
"2021-04-07","S3T5b",250,"mcr","Green","<1%",0
"2021-04-07","S3T5b",250,"mcr","Brown","<1%",0
"2021-04-07","S3T5b",250,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5b",250,"sav","Thalassia testudinum","26-50%",3
"2021-04-07","S3T5b",250,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T5b",250,"sav","Syringodium filiforme","6-25%",2
"2021-04-07","S3T5b",250,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5b",250,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T5b",250,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T5b",275,"mcr","Red","76-100%",5
"2021-04-07","S3T5b",275,"mcr","Green","<1%",0
"2021-04-07","S3T5b",275,"mcr","Brown","<1%",0
"2021-04-07","S3T5b",275,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5b",275,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T5b",275,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T5b",275,"sav","Syringodium filiforme","6-25%",2
"2021-04-07","S3T5b",275,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5b",275,"sav","Halophila engelmannii","<1%",0
