"source","station","lng","lat"
"sbep","JB-1",-82.6010819,27.5888536
"sbep","JB-2",-82.5977023,27.5857652
"sbep","JB-6",-82.5917097,27.59325
"sbep","CB-2",-82.5745673,27.5970526
"sbep","CB-0",-82.574096,27.5939402
"sbep","CB-18",-82.5779476,27.5979773
"sbep","CB-6",-82.5780987,27.5992721
"sbep","TB-0",-82.5858966,27.594491
"sbep","JB-55",-82.5920851,27.5882761
"uf","SSJS3",-82.847396,28.18477
"uf","SSJS4",-82.792832,28.149484
"uf","SSJS2",-82.782191,28.11602
"uf","SSJS1",-82.782749,28.089637
"esa","SBH1",-82.56641667,27.60621667
"esa","SBH2",-82.56021667,27.60911667
"esa","SBH3",-82.56238333,27.60713333
"esa","SBH4",-82.5674,27.60768333
"esa","SPPC1",-82.54336667,27.6624
"esa","SPPC2",-82.54503333,27.66528333
"esa","SCRB1",-82.5177,27.67656667
"esa","SCRB2",-82.50416667,27.70665
"esa","SCRB3",-82.50611667,27.7048
"esa","SMB1",-82.61003333,27.56948333
"esa","SMB2",-82.597,27.5745
"esa","SMB3",-82.60675,27.56361667
"esa","STCB1",-82.6085,27.55131667
"esa","STCB2",-82.6232,27.53658333
"esa","STCB3",-82.60591667,27.54136667
"esa","SMR1",-82.64685,27.53363333
"TBEP","S3T5a",-82.5372986,27.67428867
"TBEP","S3T5b",-82.53843653,27.67518666
"TBEP","S3T6a",-82.55780358,27.64371164
"TBEP","S3T6b",-82.55865945,27.64482859
"TBEP","S4T1a",-82.5679291,27.63385287
"TBEP","S4T2a",-82.573717,27.607367
"TBEP","S4T2b",-82.57378982,27.60826718
"TBEP","S4T3a",-82.593383,27.594217
"sbep","AMS1",-82.6830768,27.481509
"sbep","AMS2",-82.6992921,27.4811241
"sbep","AMS3",-82.690575,27.492195
"sbep","PSB1",-82.6672893,27.4709755
"sbep","PSB3",-82.661263,27.490337
"sbep","PSB2",-82.645789,27.469542
"sbep","AMS4",-82.70294,27.48868
"sbep","PSB4",-82.6553721,27.5023152
"TBEP","S4T1c",-82.57008,27.63389
