"station","date","source","var","uni","val","qual","bswqstation","lbs","nrmrng","lbunis","inrng"
"COSPE7-A2103","2021-05-24","cosp","chla","ugl",2.21,NA,"25","Chl-a (ug/L)","2.03-7.25","(ug/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","chla","ugl",4.05,NA,"25","Chl-a (ug/L)","2.03-7.25","(ug/L)","in range"
"COSPE7-C2103","2021-05-24","cosp","chla","ugl",2.99,NA,"32","Chl-a (ug/L)","3.11-7.73","(ug/L)","below"
"COSPE7-D2103","2021-05-24","cosp","chla","ugl",2.31,NA,"32","Chl-a (ug/L)","3.11-7.73","(ug/L)","below"
"COSPE7-A2103","2021-05-24","cosp","do","mgl",6.98,NA,"28","DO (mg/L)","5.62-7.34","(mg/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","do","mgl",4.51,NA,"28","DO (mg/L)","5.62-7.34","(mg/L)","below"
"COSPE7-C2103","2021-05-24","cosp","do","mgl",6.57,NA,"28","DO (mg/L)","5.62-7.34","(mg/L)","in range"
"COSPE7-D2103","2021-05-24","cosp","do","mgl",6.86,NA,"28","DO (mg/L)","5.62-7.34","(mg/L)","in range"
"COSPE7-A2103","2021-05-24","cosp","dosat","per",100.1,NA,"28","DO (% sat.)","85.1-111.3","(% sat.)","in range"
"COSPE7-B2103","2021-05-24","cosp","dosat","per",64.1,NA,"28","DO (% sat.)","85.1-111.3","(% sat.)","below"
"COSPE7-C2103","2021-05-24","cosp","dosat","per",93.4,NA,"28","DO (% sat.)","85.1-111.3","(% sat.)","in range"
"COSPE7-D2103","2021-05-24","cosp","dosat","per",97.9,NA,"28","DO (% sat.)","85.1-111.3","(% sat.)","in range"
"COSPE7-A2103","2021-05-24","cosp","nh34","mgl",0.02,"U","32","NH3, NH4+ (mg/L)","0.0078-0.045","(mg/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","nh34","mgl",0.02,"U","32","NH3, NH4+ (mg/L)","0.0078-0.045","(mg/L)","in range"
"COSPE7-C2103","2021-05-24","cosp","nh34","mgl",0.02,"U","32","NH3, NH4+ (mg/L)","0.0078-0.045","(mg/L)","in range"
"COSPE7-D2103","2021-05-24","cosp","nh34","mgl",0.02,"I","32","NH3, NH4+ (mg/L)","0.0078-0.045","(mg/L)","in range"
"COSPE7-A2103","2021-05-24","cosp","no23","mgl",0.01,"U","LM4","Nitrate/Nitrite (mg/L)","0-0.05062","(mg/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","no23","mgl",0.01,"U","LM4","Nitrate/Nitrite (mg/L)","0-0.05062","(mg/L)","in range"
"COSPE7-C2103","2021-05-24","cosp","no23","mgl",0.01,"U","LM4","Nitrate/Nitrite (mg/L)","0-0.05062","(mg/L)","in range"
"COSPE7-D2103","2021-05-24","cosp","no23","mgl",0.01,"U","LM4","Nitrate/Nitrite (mg/L)","0-0.05062","(mg/L)","in range"
"COSPE7-A2103","2021-05-24","cosp","orthop","mgl",0.06,NA,"23","Ortho-P (mg/L)","0.0474-0.065","(mg/L)","in range"
"COSPE7-B2103","2021-05-24","cosp","orthop","mgl",0.05,NA,"23","Ortho-P (mg/L)","0.0474-0.065","(mg/L)","in range"
"COSPE7-C2103","2021-05-24","cosp","orthop","mgl",0.05,NA,"23","Ortho-P (mg/L)","0.0474-0.065","(mg/L)","in range"
"COSPE7-D2103","2021-05-24","cosp","orthop","mgl",0.06,NA,"16","Ortho-P (mg/L)","0.0516-0.0786","(mg/L)","in range"
"COSPE7-A2103","2021-05-24","cosp","ph","none",8.1,NA,"28","pH","7.9-8.1","","in range"
"COSPE7-B2103","2021-05-24","cosp","ph","none",8,NA,"28","pH","7.9-8.1","","in range"
"COSPE7-C2103","2021-05-24","cosp","ph","none",8.2,NA,"28","pH","7.9-8.1","","above"
"COSPE7-D2103","2021-05-24","cosp","ph","none",8,NA,"28","pH","7.9-8.1","","in range"
"COSPE7-A2103","2021-05-24","cosp","sal","ppt",30.2,NA,"28","Sal (ppt)","29.1-32.9","(ppt)","in range"
"COSPE7-B2103","2021-05-24","cosp","sal","ppt",30.4,NA,"28","Sal (ppt)","29.1-32.9","(ppt)","in range"
